77.105.181.6|443|301|1126|http/1.1|0.5|0
77.105.181.6|8443|404|1552|http/1.1|0.5|0
77.105.181.6|2096|403|1124|http/1.1|0.5|0
77.105.181.178|443|403|1122|http/1.1|0.5|0
77.105.181.185|443|302|1020|http/1.1|1.0|0
77.105.181.148|443|403|1343|http/1.1|1.0|0
77.105.181.184|443|302|1012|http/1.1|1.0|0
77.105.181.186|443|404|1038|http/1.1|1.0|0
77.105.181.152|443|302|1046|http/1.1|1.0|0
77.105.181.150|443|404|1639|http/1.1|1.0|0
77.105.182.16|443|400|1073|http/1.1|1.0|0
77.105.182.41|443|301|884|http/1.1|1.0|0
77.105.181.58|443|404|1495|http/1.1|0.5|0
77.105.181.60|443|404|739|http/1.1|1.0|0
77.105.181.61|443|404|785|http/1.1|1.0|0
77.105.181.64|443|200|1123|http/1.1|0.5|0
77.105.181.65|443|401|956|http/1.1|1.0|0
77.105.181.3|443|400|1630|http/1.1|1.0|0
77.105.181.13|443|400|1120|http/1.1|0.5|0
77.105.181.59|443|302|803|http/1.1|1.0|0
77.105.181.10|443|500|1102|http/1.1|0.5|0
77.105.181.138|443|200|1011|http/1.1|1.0|0
77.105.181.140|443|200|1406|http/1.1|1.0|0
77.105.181.158|443|200|1039|http/1.1|1.0|0
77.105.181.231|443|302|1719|http/1.1|1.0|0
77.105.182.45|443|400|984|http/1.1|1.0|0
77.105.182.45|8080|301|862|http|1.0|0
77.105.182.45|8443|301|894|http/1.1|1.0|0
77.105.182.32|443|302|543|http/1.1|1.0|0
77.105.182.9|443|200|1190|http/1.1|1.0|0
77.105.182.24|443|301|1551|http/1.1|0.5|0
77.105.182.27|443|403|981|http/1.1|1.0|0
77.105.182.28|443|200|1284|http/1.1|0.5|0
77.105.182.35|443|301|921|http/1.1|1.0|0
77.105.182.47|80|404|795|http|1.0|0
77.105.182.47|443|404|929|http/1.1|1.0|0
77.105.182.73|443|404|1083|http/1.1|1.0|0
77.105.182.33|443|403|633|http/1.1|1.0|0
77.105.182.15|443|302|1740|http/1.1|1.0|0
77.105.182.118|80|301|694|http|1.0|0
77.105.182.118|443|404|847|http/1.1|1.0|0
77.105.182.94|80|301|886|http|1.0|0
77.105.182.94|443|404|966|http/1.1|1.0|0
77.105.182.53|443|404|757|http/1.1|1.0|0
77.105.182.52|443|400|604|http/1.1|1.0|0
77.105.182.57|443|200|793|http/1.1|1.0|0
77.105.182.58|443|200|640|http/1.1|1.0|0
77.105.182.55|443|403|775|http/1.1|1.0|0
77.105.182.63|443|400|1352|http/1.1|1.0|0
77.105.182.69|443|500|937|h2|1.0|0
77.105.182.72|443|401|378|http/1.1|1.0|0
77.105.182.75|443|502|1017|http/1.1|1.0|0
77.105.182.76|443|400|813|http/1.1|1.0|0
77.105.182.64|443|404|875|http/1.1|1.0|0
77.105.182.100|443|302|324|http/1.1|1.0|0
77.105.182.96|443|200|559|http/1.1|1.0|0
77.105.182.105|443|301|650|http/1.1|1.0|0
77.105.182.120|443|400|703|http/1.1|1.0|0
77.105.182.106|443|302|442|http/1.1|1.0|0
